Performing system checks...

System check identified no issues (0 silenced).
December 10, 2024 - 04:14:28
Django version 4.2.16, using settings 'core.settings'
Starting development server at http://127.0.0.1:17200/
Quit the server with CTRL-BREAK.

[10/Dec/2024 04:14:28] "GET /QueryManager/ HTTP/1.1" 200 14637
[10/Dec/2024 04:14:45] "GET /QueryManager?page=10 HTTP/1.1" 301 0
[10/Dec/2024 04:14:46] "GET /QueryManager/?page=10 HTTP/1.1" 200 14377
[10/Dec/2024 04:15:03] "GET /QueryManager/ HTTP/1.1" 200 14637
[10/Dec/2024 04:15:36] "GET /QueryManager?page=2 HTTP/1.1" 301 0
[10/Dec/2024 04:15:36] "GET /QueryManager/?page=2 HTTP/1.1" 200 14891
[10/Dec/2024 04:15:49] "GET /QueryManager?page=3 HTTP/1.1" 301 0
[10/Dec/2024 04:15:49] "GET /QueryManager/?page=3 HTTP/1.1" 200 14434
[10/Dec/2024 04:15:55] "GET /QueryManager?page=4 HTTP/1.1" 301 0
[10/Dec/2024 04:15:55] "GET /QueryManager/?page=4 HTTP/1.1" 200 15076
[10/Dec/2024 04:16:00] "GET /QueryManager/?page=10 HTTP/1.1" 200 14377
[10/Dec/2024 04:16:06] "GET /QueryManager?page=9 HTTP/1.1" 301 0
[10/Dec/2024 04:16:06] "GET /QueryManager/?page=9 HTTP/1.1" 200 14394
[10/Dec/2024 04:16:11] "GET /QueryManager/detail/26 HTTP/1.1" 301 0
[10/Dec/2024 04:16:12] "GET /QueryManager/detail/26/ HTTP/1.1" 200 10189
[10/Dec/2024 04:16:21] "GET /QueryManager?page=8 HTTP/1.1" 301 0
[10/Dec/2024 04:16:21] "GET /QueryManager/?page=8 HTTP/1.1" 200 14362
[10/Dec/2024 04:16:32] "GET /QueryManager/admin HTTP/1.1" 301 0
[10/Dec/2024 04:16:32] "GET /QueryManager/admin/ HTTP/1.1" 302 0
[10/Dec/2024 04:16:33] "GET /QueryManager/admin/login/?next=/QueryManager/admin/ HTTP/1.1" 200 4324
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/css/base.css HTTP/1.1" 200 22092
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/css/responsive.css HTTP/1.1" 200 17972
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/js/theme.js HTTP/1.1" 200 1653
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/css/dark_mode.css HTTP/1.1" 200 2804
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[10/Dec/2024 04:16:33] "GET /QueryManager/static/admin/css/login.css HTTP/1.1" 200 951
[10/Dec/2024 04:16:45] "POST /QueryManager/admin/login/?next=/QueryManager/admin/ HTTP/1.1" 302 0
[10/Dec/2024 04:16:45] "GET /QueryManager/admin/ HTTP/1.1" 200 8602
[10/Dec/2024 04:16:45] "GET /QueryManager/static/admin/css/dashboard.css HTTP/1.1" 200 441
[10/Dec/2024 04:16:46] "GET /QueryManager/static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[10/Dec/2024 04:16:46] "GET /QueryManager/static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
