Performing system checks...

System check identified no issues (0 silenced).
December 09, 2024 - 19:12:25
Django version 4.2.16, using settings 'core.settings'
Starting development server at http://127.0.0.1:9294/
Quit the server with CTRL-BREAK.

[09/Dec/2024 19:12:25] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 19:12:25] "GET /QueryManager/static/custom.css HTTP/1.1" 200 1925
[09/Dec/2024 19:12:25] "GET /QueryManager/static/query_manager.png HTTP/1.1" 200 64648
[09/Dec/2024 19:12:25] "GET /QueryManager/static/bootstrap.min.css HTTP/1.1" 200 160302
[09/Dec/2024 19:20:55] "GET /QueryManager/accounts/login HTTP/1.1" 301 0
[09/Dec/2024 19:20:55] "GET /QueryManager/accounts/login/ HTTP/1.1" 200 4925
[09/Dec/2024 19:20:56] "GET /QueryManager/static/animate.min.css HTTP/1.1" 200 71750
[09/Dec/2024 19:20:56] "GET /QueryManager/static/fa4/css/font-awesome.min.css HTTP/1.1" 200 31000
[09/Dec/2024 19:20:56] "GET /QueryManager/static/jquery-3.5.1.min.js HTTP/1.1" 200 89476
[09/Dec/2024 19:20:56] "GET /QueryManager/static/bootstrap.min.js HTTP/1.1" 200 51039
[09/Dec/2024 19:21:27] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 19:21:32] "GET /QueryManager/accounts/register HTTP/1.1" 301 0
[09/Dec/2024 19:21:32] "GET /QueryManager/accounts/register/ HTTP/1.1" 200 5372
[09/Dec/2024 19:22:24] "POST /QueryManager/accounts/register/ HTTP/1.1" 200 5572
[09/Dec/2024 19:22:28] "GET /QueryManager/accounts/login/ HTTP/1.1" 200 4925
[09/Dec/2024 19:22:44] "POST /QueryManager/accounts/login/ HTTP/1.1" 302 0
[09/Dec/2024 19:22:44] "GET /QueryManager/ HTTP/1.1" 200 3986
[09/Dec/2024 19:22:44] "GET /QueryManager/static/profile_pics/default2.jpg HTTP/1.1" 200 10687
[09/Dec/2024 19:49:15] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 20:01:14] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 20:04:23] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 20:04:23] "GET /QueryManager/static/bootstrap.min.css HTTP/1.1" 200 160302
[09/Dec/2024 20:04:23] "GET /QueryManager/static/custom.css HTTP/1.1" 200 1925
[09/Dec/2024 20:04:23] "GET /QueryManager/static/query_manager.png HTTP/1.1" 200 64648
[09/Dec/2024 20:04:47] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 20:04:48] "GET /QueryManager/static/custom.css HTTP/1.1" 200 1925
[09/Dec/2024 20:04:48] "GET /QueryManager/static/bootstrap.min.css HTTP/1.1" 200 160302
[09/Dec/2024 20:04:48] "GET /QueryManager/static/query_manager.png HTTP/1.1" 200 64648
[09/Dec/2024 20:05:13] "GET /QueryManager/ HTTP/1.1" 200 3260
[09/Dec/2024 20:05:13] "GET /QueryManager/static/bootstrap.min.css HTTP/1.1" 200 160302
[09/Dec/2024 20:05:13] "GET /QueryManager/static/custom.css HTTP/1.1" 200 1925
[09/Dec/2024 20:05:13] "GET /QueryManager/static/query_manager.png HTTP/1.1" 200 64648
[09/Dec/2024 20:05:28] "GET /QueryManager/accounts/register/ HTTP/1.1" 200 5372
[09/Dec/2024 20:05:52] "GET /QueryManager/accounts/login/ HTTP/1.1" 200 4925
[09/Dec/2024 20:05:58] "POST /QueryManager/accounts/login/ HTTP/1.1" 302 0
[09/Dec/2024 20:05:58] "GET /QueryManager/ HTTP/1.1" 200 3986
[09/Dec/2024 20:06:09] "GET /QueryManager/ask-question HTTP/1.1" 200 6734
[09/Dec/2024 20:07:57] "GET /QueryManager/accounts/register HTTP/1.1" 301 0
[09/Dec/2024 20:07:58] "GET /QueryManager/accounts/register/ HTTP/1.1" 200 5372
[09/Dec/2024 20:07:59] "GET /QueryManager/static/animate.min.css HTTP/1.1" 200 71750
[09/Dec/2024 20:07:59] "GET /QueryManager/static/fa4/css/font-awesome.min.css HTTP/1.1" 200 31000
[09/Dec/2024 20:07:59] "GET /QueryManager/static/jquery-3.5.1.min.js HTTP/1.1" 200 89476
